String,Admin Roles,Content Roles,End User,From Mukurtu
"The <a href="":project"">Token</a> module provides a user interface for the site token system. It also adds some additional tokens that are used extensively during site development. Tokens are specially formatted chunks of text that serve as placeholders for a dynamically generated value. For more information, covering both the token system and the additional tools provided by the Token module, see the <a href="":online"">online documentation</a>.",,,,
"The <a href="":redirect"">""URL Redirects""</a> page is used to setup and manage URL Redirects. New redirects are created here using the <a href="":add_form"">Add redirect</a> button which presents a form to simplify the creation of redirects . The URL redirects page provides a list of all redirects on the site and allows you to edit them.",,,,
"The <a href="":rest-docs"">RESTful Web Services</a> and <a href="":jsonapi-docs"">JSON:API</a> modules serve similar purposes. <a href="":comparison"">Read the comparison of the RESTFul Web Services and JSON:API modules</a> to determine the best choice for your site.",,,,
"The <a href="":settings"">""Settings""</a> page is used to customize global Pathauto settings for automated pattern creation.",,,,
"The <a href="":settings"">""Settings""</a> page presents you with a number of means to adjust redirect settings.",,,,
"The <a href="":status"">Status report</a> provides an overview of the configuration, status, and health of your site. Review this report to make sure there are not any problems to address, and to find information about the software your site and web server are using.",,,,
"The <a href="":url"">Redirect module settings</a> affect whether a redirect is created when an alias is deleted.",,,,
"The <a href=""@flag-handbook-url"">Flag module handbook</a> contains extensive <a href=""@customize-url"">documentation on creating customized views</a> using flags.",,,,
The <code>&lt;drupal-media&gt;</code> tag in the allowed HTML tags is missing the following attributes: <code>%list</code>.,,,,
The <code>@plugin</code> plugin is not installed.,,,,
The <code>@plugin</code> plugin is not listed as an allowed plugin.,,,,
The <code>@tag</code> tag is not yet supported by the Style plugin.,,,,
The <code>composer-exit-on-patch-failure</code> key is not set to <code>true</code> in the <code>extra</code> section of <code>composer.json</code>.,,,,
The <code>update_fetch_with_http_fallback</code> setting must be disabled.,,,,
The <em>Autocomplete (Tags style)</em> widget displays a multi-text field in which users can type in a comma-separated list of entity labels.,,,,
The <em>Autocomplete</em> widget displays text fields in which users can type entity labels based on the <em>Allowed number of values</em>. The widget can be configured to display all entities that contain the typed characters or restricted to those starting with those characters.,,,,
"The <em>Block</em> module allows you to place blocks in regions of your installed themes, and configure block settings. The <em>Block Content</em> module allows you to manage block types and content blocks. See the related topics listed below for specific tasks.",,,,
"The <em>Breakpoint</em> module allows you to define breakpoints and breakpoint groups in YAML files. Modules and themes can use the API provided by the <em>Breakpoint</em> module to define breakpoints and breakpoint groups, and to assign resolution multipliers to breakpoints.",,,,
The <em>Check boxes/radio buttons</em> widget displays the existing entities for the entity type as check boxes or radio buttons based on the <em>Allowed number of values</em> set for the field.,,,,
"The <em>Content</em> and <em>Help</em> search types provided by the core software pre-index their content and store the results in several database tables that are collectively called the <em>search index</em>. The process of indexing renders the content and breaks it up into words, which can then be matched more efficiently with keyword queries when users perform searches. Search indexing happens during cron runs; see @cron_topic for more information about cron.",,,,
The <em>Exposed items per page</em> field's options must include the value from the <em>Items per page</em> field (@items_per_page).,,,,
"The <em>From</em> address in automated emails sent during registration and new password requests, and other notifications. (Use an address ending in your site's domain to help prevent this email being flagged as spam.)",x,,,
"The <em>Label</em> field should now be visible; enter a label for the field, which is used as the field label for both content editing and content display.",,,,
"The <em>Powered by Drupal</em> block is an optional link to the home page of the Drupal project. While there is absolutely no requirement that sites feature this link, it may be used to show support for Drupal.",,,,
The <em>Select list</em> widget displays the existing entities in a drop-down list or scrolling list box based on the <em>Allowed number of values</em> setting for the field.,,,,
"The <em>settings</em> and <em>display</em> of the text field can be configured separately. See the <a href="":field_ui"">Field UI help</a> for more information on how to manage fields and their display.",,,,
"The <em>settings</em> and the <em>display</em> of the Date field can be configured separately. See the <a href="":field_ui"">Field UI help</a> for more information on how to manage fields and their display.",,,,
"The <em>settings</em> and the <em>display</em> of the entity reference field can be configured separately. See the <a href="":field_ui"">Field UI help</a> for more information on how to manage fields and their display.",,,,
"The <em>settings</em> and the <em>display</em> of the file field can be configured separately. See the <a href="":field_ui"">Field UI help</a> for more information on how to manage fields and their display.",,,,
"The <em>settings</em> and the <em>display</em> of the link field can be configured separately. See the <a href="":field_ui"">Field UI help</a> for more information on how to manage fields and their display.",,,,
"The <em>settings</em> and the <em>display</em> of the list fields can be configured separately. See the <a href="":field_ui"">Field UI help</a> for more information on how to manage fields and their display.",,,,
"The <em>settings</em> and the <em>display</em> of the telephone field can be configured separately. See the <a href="":field_ui"">Field UI help</a> for more information on how to manage fields and their display.",,,,
The <em>Source Editing</em> plugin was enabled to support tags and/or attributes that are not explicitly supported by any available CKEditor 5 plugins.,,,,
"The <strong>maximum alias length</strong> and <strong>maximum component length</strong> values default to 100 and have a limit of @max from Pathauto. You should enter a value that is the length of the ""alias"" column of the path_alias database table minus the length of any strings that might get added to the end of the URL. The recommended and default value is 100.",,,,
The absolute path to the file where @drupal data will be stored. This must be writable by the web server and should exist outside of the web root.,,,,
The absolute URL.,,,,
The accent color,,,,
The active content language.,,,,
"The active directory is not protected by PHP-TUF, which is required to use Package Manager securely.",,,,
The active lock file (@file) does not exist.,,,,
The active user interface language.,,,,
The actual message of the log entry.,,,,
The administrative email address for the site.,,,,
"The administrative menu, which you can navigate by visiting <em>@admin_link</em> on your site or by using an administrative toolbar, has the following sections (some may not be available, depending on which modules are currently installed on your site, and your permissions):",,,,
The alias %alias could not be added because it is already in use in this language with different capitalization: %stored_alias.,,,,
The alias %alias is already in use in this language.,,,,
The alias has been saved.,,,,
The alias path has to start with a slash.,,,,
The aliased path to this content.,,,,
"The alphadecimal representation of the comment's place in a thread, consisting of a base 36 string prefixed by an integer indicating its length.",,,,
The anchor fragments are not allowed.,,,,
"The Announcements module displays announcements from the Drupal community. For more information, see the <a href="":documentation"">online documentation for the Announcements module</a>.",,,,
"The anonymous user does not exist. See the <a href="":url"">restore the anonymous (user ID 0) user record</a> for more information",,,,
The approved comments listing.,,,,
The array of keys of the array.,,,,
The array reversed.,,,,
The array values each cleaned by Pathauto and then joined with the slash into a string that resembles an URL.,,,,
The author name of the comment.,,,,
The author of the book.,,,,
The author of this translation.,,,,
The author's host name.,,,,
"The Automated Cron module runs cron operations for your site using normal browser/page requests instead of having to set up a separate cron job. The Automated Cron module checks at the end of each server response when cron operation was last ran and, if it has been too long since last run, it executes the cron tasks after sending a server response. For more information, see the <a href="":automated_cron-documentation"">online documentation for the Automated Cron module</a>.",,,,
The automatically generated alias %original_alias conflicted with an existing alias. Alias changed to %alias.,,,,
The available detection methods depend on what modules you have installed. Some of the most commonly-used language detection methods are:,,,,
The backend plugin is missing or invalid.,,,,
"The backend plugin used for this server. The backend plugin determines how items are indexed and searched – for example, using the database or an Apache Solr server.",,,,
"The background color to use for exposed areas of the image. Use web-style hex colors (#FFFFFF for white, #000000 for black). Leave blank for transparency on image types that support it.",,,,
